id,k,z,stop_loss_pct,net_profit,final_equity,cagr_pct,max_dd_pct,sortino,total_trades,active_combos,skipped_trades,stop_loss_hits
k3_0_z0_30_stop60,3.0,0.3,60.0,21841.6,31841.6,12.28,6.97,3.7,6147,66,823,2
k3_0_z0_35_stop60,3.0,0.35,60.0,23294.8,33294.8,12.78,6.44,3.77,5666,60,715,2
k3_0_z0_40_stop60,3.0,0.4,60.0,23537.69,33537.69,12.87,6.51,3.61,4947,55,626,2
k3_5_z0_10_stop60,3.5,0.1,60.0,18036.11,28036.11,10.86,10.12,3.39,11478,115,1800,2
k3_5_z0_15_stop60,3.5,0.15,60.0,19235.06,29235.06,11.33,9.65,3.49,9026,97,1835,2
k3_5_z0_20_stop60,3.5,0.2,60.0,20558.48,30558.48,11.82,8.66,3.66,7806,86,1827,2
k3_5_z0_25_stop60,3.5,0.25,60.0,22236.87,32236.87,12.42,7.94,3.75,7070,77,1563,2
k3_5_z0_30_stop60,3.5,0.3,60.0,23847.99,33847.99,12.97,5.66,3.62,5729,66,1241,2
k3_5_z0_35_stop60,3.5,0.35,60.0,24936.74,34936.74,13.33,5.83,3.59,5220,60,1161,2
k3_5_z0_40_stop60,3.5,0.4,60.0,24899.55,34899.55,13.32,6.57,3.39,4548,55,1025,2
k4_0_z0_10_stop60,4.0,0.1,60.0,18876.0,28876.0,11.19,11.23,3.43,10598,115,2680,2
k4_0_z0_15_stop60,4.0,0.15,60.0,20775.98,30775.98,11.9,9.64,3.57,8347,97,2514,2
k4_0_z0_20_stop60,4.0,0.2,60.0,22336.22,32336.22,12.45,9.01,3.71,7238,86,2395,2
k4_0_z0_25_stop60,4.0,0.25,60.0,22389.65,32389.65,12.47,11.23,3.61,6383,77,2250,2
k4_0_z0_30_stop60,4.0,0.3,60.0,24037.19,34037.19,13.03,7.46,3.37,5257,66,1713,2
k4_0_z0_35_stop60,4.0,0.35,60.0,25517.14,35517.14,13.51,8.01,3.46,4719,60,1662,2
k4_0_z0_40_stop60,4.0,0.4,60.0,27004.21,37004.21,13.98,7.88,3.45,4195,55,1378,2
k4_5_z0_10_stop60,4.5,0.1,60.0,19944.37,29944.37,11.59,11.37,3.42,9814,115,3464,2
k4_5_z0_15_stop60,4.5,0.15,60.0,21569.06,31569.06,12.18,10.77,3.55,7605,97,3256,2
k4_5_z0_20_stop60,4.5,0.2,60.0,22155.52,32155.52,12.39,11.6,3.66,6525,86,3108,2
k4_5_z0_25_stop60,4.5,0.25,60.0,23555.67,33555.67,12.87,10.98,3.55,5932,77,2701,2
k4_5_z0_30_stop60,4.5,0.3,60.0,24722.87,34722.87,13.26,9.97,3.26,4881,66,2089,2
k4_5_z0_35_stop60,4.5,0.35,60.0,26662.92,36662.92,13.88,9.49,3.34,4476,60,1905,2
k4_5_z0_40_stop60,4.5,0.4,60.0,28154.15,38154.15,14.33,9.26,3.41,3737,55,1836,2
k5_0_z0_10_stop60,5.0,0.1,60.0,21278.91,31278.91,12.08,11.9,3.52,9045,115,4233,2
k5_0_z0_15_stop60,5.0,0.15,60.0,22490.96,32490.96,12.51,11.23,3.59,7018,97,3843,2
k5_0_z0_20_stop60,5.0,0.2,60.0,23229.49,33229.49,12.76,12.25,3.53,6101,86,3532,2
k5_0_z0_25_stop60,5.0,0.25,60.0,24377.21,34377.21,13.14,11.99,3.52,5428,77,3205,2
k5_0_z0_30_stop60,5.0,0.3,60.0,25238.14,35238.14,13.43,10.03,3.13,4314,66,2656,2
k5_0_z0_35_stop60,5.0,0.35,60.0,28011.7,38011.7,14.29,8.58,3.31,4104,60,2277,2
k5_0_z0_40_stop60,5.0,0.4,60.0,28048.02,38048.02,14.3,10.42,3.2,3492,55,2081,2
k1_0_z0_10_stop70,1.0,0.1,70.0,11105.93,21105.93,7.76,5.89,2.14,13258,115,20,0
k1_0_z0_15_stop70,1.0,0.15,70.0,11735.97,21735.97,8.07,5.77,2.29,10839,97,22,0
k1_0_z0_20_stop70,1.0,0.2,70.0,12128.22,22128.22,8.27,5.81,2.37,9608,86,25,0
k1_0_z0_25_stop70,1.0,0.25,70.0,12547.57,22547.57,8.47,5.5,2.47,8610,77,23,0
k1_0_z0_30_stop70,1.0,0.3,70.0,13089.83,23089.83,8.73,5.21,2.56,6941,66,29,0
k1_0_z0_35_stop70,1.0,0.35,70.0,13611.13,23611.13,8.97,5.02,2.67,6352,60,29,0
k1_0_z0_40_stop70,1.0,0.4,70.0,13806.91,23806.91,9.06,4.62,2.72,5542,55,31,0
k1_5_z0_10_stop70,1.5,0.1,70.0,12099.77,22099.77,8.25,5.47,2.57,13255,115,23,0
k1_5_z0_15_stop70,1.5,0.15,70.0,12942.13,22942.13,8.66,5.19,3.0,10834,97,27,0
k1_5_z0_20_stop70,1.5,0.2,70.0,13846.69,23846.69,9.08,5.1,3.18,9607,86,26,0
k1_5_z0_25_stop70,1.5,0.25,70.0,15034.31,25034.31,9.61,4.83,3.21,8608,77,25,0
k1_5_z0_30_stop70,1.5,0.3,70.0,16045.62,26045.62,10.05,4.74,3.38,6946,66,24,0
k1_5_z0_35_stop70,1.5,0.35,70.0,16164.02,26164.02,10.1,4.51,3.4,6354,60,27,0
k1_5_z0_40_stop70,1.5,0.4,70.0,16315.51,26315.51,10.16,4.06,3.41,5542,55,31,0
k2_0_z0_10_stop70,2.0,0.1,70.0,14105.67,24105.67,9.2,7.02,3.1,13232,115,46,0
k2_0_z0_15_stop70,2.0,0.15,70.0,15458.36,25458.36,9.8,6.1,3.34,10798,97,63,0
k2_0_z0_20_stop70,2.0,0.2,70.0,16414.32,26414.32,10.2,5.81,3.49,9552,86,81,0
k2_0_z0_25_stop70,2.0,0.25,70.0,17163.56,27163.56,10.51,5.39,3.6,8560,77,73,0
k2_0_z0_30_stop70,2.0,0.3,70.0,18307.39,28307.39,10.97,5.43,3.85,6912,66,58,0
k2_0_z0_35_stop70,2.0,0.35,70.0,19113.82,29113.82,11.28,5.57,3.93,6331,60,50,0
k2_0_z0_40_stop70,2.0,0.4,70.0,19829.98,29829.98,11.55,4.84,3.94,5526,55,47,0
